iter,t-statistic,pvalue,pcutoff
457,1.592581984,0.111876,yes
458,2.674998711,0.007714,no
459,3.430190997,0.000652,no
460,4.299701909,2.10E-05,no
461,2.833868608,0.004782,no
462,3.294188441,0.001056,no
463,2.511480512,0.012332,no
464,3.46106013,0.000583,no
465,4.338579472,1.70E-05,no
466,3.316464006,0.000977,no
467,3.813240889,0.000154,no
468,2.223450333,0.026625,no
469,2.704812697,0.007064,no
470,3.86138385,0.000127,no
471,4.125509485,4.30E-05,no
472,4.302500621,2.00E-05,no
473,3.519498162,0.000471,no
474,2.883244296,0.004103,no
475,4.849508722,2.00E-06,no
476,4.487199933,9.00E-06,no
477,3.143204548,0.001769,no
478,4.301844994,2.00E-05,no
479,6.071263284,0,no
480,3.770423749,0.000182,no
481,1.714944817,0.086965,yes
482,4.130223522,4.20E-05,no
483,3.325673976,0.000946,no
484,2.914314575,0.003722,no
485,4.886592382,1.00E-06,no
486,1.450449634,0.14755,yes
487,3.887186216,0.000115,no
488,4.411622291,1.30E-05,no
489,3.470583632,0.000564,no
490,1.772862152,0.076851,yes
491,4.10873584,4.60E-05,no
492,4.049440717,5.90E-05,no
493,1.985752086,0.047598,no
494,2.125791176,0.034002,no
495,2.433044633,0.015316,no
496,5.203975558,0,no
497,1.374658743,0.169843,yes
498,5.287680439,0,no
499,3.534906522,0.000445,no
500,2.946447203,0.003362,no
501,4.472857306,1.00E-05,no
502,2.080616481,0.03797,no
503,3.98047148,7.90E-05,no
504,3.282439802,0.0011,no
505,4.30684841,2.00E-05,no
506,3.955445213,8.70E-05,no
507,4.100556967,4.80E-05,no
508,4.296770244,2.10E-05,no
509,2.862266729,0.00438,no
510,1.994224773,0.046662,no
511,2.865414816,0.004337,no
512,4.779404854,2.00E-06,no
513,4.213914987,3.00E-05,no
514,4.682206169,4.00E-06,no
515,3.550062282,0.000421,no
516,1.734053051,0.083515,yes
517,2.852027681,0.004521,no
518,1.531465933,0.126277,yes
519,2.037407663,0.042127,no
520,3.868553882,0.000124,no
521,2.209841112,0.027561,no
522,2.988330112,0.002941,no
523,3.474665233,0.000555,no
524,4.389985356,1.40E-05,no
525,3.62919294,0.000313,no
526,3.317798495,0.000972,no
527,4.218397316,2.90E-05,no
528,5.0235788,1.00E-06,no
529,3.798721264,0.000163,no
530,2.932534127,0.003514,no
531,0.871313276,0.383995,yes
532,3.561059431,0.000404,no
533,1.172106012,0.241704,yes
534,1.928132143,0.054396,yes
535,2.180349558,0.02969,no
536,3.236072395,0.001291,no
537,4.358493972,1.60E-05,no
538,1.7957968,0.073121,yes
539,1.236846422,0.216716,yes
540,3.741055042,0.000204,no
541,4.793840289,2.00E-06,no
542,4.830896765,2.00E-06,no
543,4.388518529,1.40E-05,no
544,4.710793809,3.00E-06,no
545,3.896591674,0.000111,no
546,3.777571404,0.000177,no
547,3.921449687,0.0001,no
548,3.307065164,0.00101,no
549,3.022066192,0.002637,no
550,3.075807656,0.002212,no
551,1.903725321,0.057511,yes
552,2.740505558,0.00635,no
553,2.783188643,0.005583,no
554,3.730237063,0.000213,no
555,3.801988041,0.000161,no
556,3.381165126,0.000777,no
557,1.928155377,0.054393,yes
558,4.242678193,2.60E-05,no
559,2.350580502,0.019126,no
560,5.056830864,1.00E-06,no
561,3.958790735,8.60E-05,no
562,3.417329328,0.000683,no
563,3.951744267,8.90E-05,no
564,4.2273532,2.80E-05,no
565,4.912397763,1.00E-06,no
566,4.294037185,2.10E-05,no
567,4.599630073,5.00E-06,no
568,4.373796369,1.50E-05,no
569,2.21842827,0.026967,no
570,2.905782912,0.003823,no
571,3.024753536,0.002614,no
572,4.953809922,1.00E-06,no
573,3.49162665,0.000522,no
574,3.588802476,0.000364,no
575,4.183238393,3.40E-05,no
576,3.559887912,0.000406,no
577,2.970728523,0.003112,no
578,4.523263573,8.00E-06,no
579,1.548022655,0.12224,yes
580,4.111188825,4.60E-05,no
581,4.49764478,9.00E-06,no
582,3.733159912,0.00021,no
583,2.405196427,0.01652,no
584,3.088362481,0.002123,no
585,3.93594084,9.40E-05,no
586,2.102003518,0.036045,no
587,3.96521963,8.40E-05,no
588,4.194657245,3.20E-05,no
589,2.650968562,0.008277,no
590,4.21991683,2.90E-05,no
591,2.506615359,0.012501,no
592,3.341446038,0.000895,no
593,3.392496597,0.000747,no
594,3.423327309,0.000669,no
595,4.478968211,9.00E-06,no
596,1.675025644,0.094545,yes
597,3.952768979,8.80E-05,no
598,3.922591286,0.0001,no
599,3.946275814,9.10E-05,no
600,3.759031847,0.00019,no
601,4.119192982,4.40E-05,no
602,3.381890915,0.000775,no
603,4.464227303,1.00E-05,no
604,3.157767478,0.001684,no
605,3.424872745,0.000665,no
606,3.840067527,0.000139,no
607,3.832521311,0.000143,no
608,3.501552355,0.000503,no
609,2.456967586,0.014345,no
610,3.359915913,0.000838,no
611,2.745920804,0.006248,no
612,3.953505901,8.80E-05,no
613,3.806386647,0.000158,no
614,2.244562006,0.025226,no
615,4.353128019,1.60E-05,no
616,2.268390672,0.023724,no
617,4.512671227,8.00E-06,no
