net_id,E-E,E-N,N-E,N-N
rand_0.1_357_net.csv,602,1430,1925,5098
rand_0.1_358_net.csv,603,1422,1931,5099
rand_0.1_359_net.csv,617,1408,1917,5113
rand_0.1_36_net.csv,605,1429,1920,5102
rand_0.1_360_net.csv,616,1401,1926,5112
rand_0.1_361_net.csv,614,1403,1928,5110
rand_0.1_362_net.csv,626,1397,1910,5122
rand_0.1_363_net.csv,620,1400,1919,5116
rand_0.1_364_net.csv,612,1411,1924,5108
rand_0.1_365_net.csv,619,1415,1906,5115
rand_0.1_366_net.csv,624,1400,1911,5120
rand_0.1_367_net.csv,634,1384,1907,5130
rand_0.1_368_net.csv,638,1393,1890,5134
rand_0.1_369_net.csv,631,1397,1900,5127
rand_0.1_37_net.csv,595,1423,1946,5092
rand_0.1_370_net.csv,633,1390,1903,5129
rand_0.1_371_net.csv,624,1400,1911,5120
rand_0.1_372_net.csv,634,1409,1882,5130
rand_0.1_373_net.csv,638,1399,1884,5134
rand_0.1_374_net.csv,628,1401,1902,5124
rand_0.1_375_net.csv,633,1398,1895,5129
rand_0.1_376_net.csv,639,1372,1909,5135
rand_0.1_377_net.csv,629,1371,1930,5125
rand_0.1_378_net.csv,615,1385,1944,5111
rand_0.1_379_net.csv,612,1392,1943,5108
rand_0.1_38_net.csv,598,1426,1937,5095
rand_0.1_380_net.csv,613,1396,1937,5109
rand_0.1_381_net.csv,615,1383,1946,5111
rand_0.1_382_net.csv,611,1395,1942,5107
rand_0.1_383_net.csv,615,1397,1932,5111
rand_0.1_384_net.csv,610,1400,1939,5106
rand_0.1_385_net.csv,602,1409,1946,5098
rand_0.1_386_net.csv,602,1404,1951,5098
rand_0.1_387_net.csv,594,1401,1970,5090
rand_0.1_388_net.csv,593,1402,1971,5089
rand_0.1_389_net.csv,597,1408,1957,5093
rand_0.1_39_net.csv,597,1412,1953,5094
rand_0.1_390_net.csv,592,1419,1956,5088
rand_0.1_391_net.csv,594,1432,1939,5090
rand_0.1_392_net.csv,609,1390,1951,5105
rand_0.1_393_net.csv,603,1387,1966,5099
rand_0.1_394_net.csv,606,1401,1946,5102
rand_0.1_395_net.csv,597,1421,1944,5093
rand_0.1_396_net.csv,614,1426,1905,5110
rand_0.1_397_net.csv,614,1416,1915,5110
rand_0.1_398_net.csv,613,1414,1919,5109
rand_0.1_399_net.csv,607,1408,1937,5103
rand_0.1_4_net.csv,731,1361,1736,5227
rand_0.1_40_net.csv,604,1397,1954,5101
rand_0.1_400_net.csv,616,1423,1904,5112
rand_0.1_401_net.csv,613,1416,1917,5109
rand_0.1_402_net.csv,611,1420,1917,5107
